Palabra,Conteo
oh,4
boy,1
sleep,1
that's,2
where,1
i'm,2
a,6
viking,1
ahh,2
sweet,2
liquor,2
eases,2
the,3
pain,2
you're,3
turning,2
me,3
into,2
criminal,2
when,2
all,2
i,4
want,2
to,3
be,2
is,2
petty,2
thug,2
thank,1
you,2
come,1
again,1
for,1
once,1
maybe,1
someone,1
will,1
call,1
sir,1
without,1
adding,1
making,1
scene,1
yeah,2
facts,2
are,1
meaningless,1
could,2
use,1
prove,1
anything,1
even,1
remotely,1
true,1
sleeping,1
in,1
bath,1
tub,1
wow,1
windows,1
don't,1
think,1
afford,1
this,1
place,1
